Sequence,start_site,end_site,length,GC_content
1,3148,3878,731,72.5
2,4784,4991,208,52.4
3,81,1001,921,68
4,1623,2098,476,57.8
5,1205,1424,220,56.8
6,4409,4794,386,60.1
7,4499,5000,502,67.3
8,4723,4997,275,69.8
9,4092,4994,903,70.5
10,4645,4998,354,76.6
11,4681,4982,302,63.2
12,4473,4978,506,80.2
13,2973,3528,556,65.8
14,2532,3265,734,65
15,4703,4998,296,77
